Run,years,weights,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error
"[2015,2016,2018]_[1:1:8]",2016,1,-0.051309561,-0.056212668,0.073581688,0.062445625
"[2015,2016,2018]_[1:1:8]",2018,8,-0.051309561,-0.056212668,0.073581688,0.062445625
"[2018,2015,2016]_[8:1:1]",2018,8,-0.051309561,-0.056212668,0.073581688,0.062445625
"[2018,2015,2016]_[8:1:1]",2015,1,-0.051309561,-0.056212668,0.073581688,0.062445625
"[2018,2015,2016]_[8:1:1]",2016,1,-0.051309561,-0.056212668,0.073581688,0.062445625
"[2016,2018]_[1:9]",2016,1,-0.05100381,-0.028612335,0.076102079,0.063552945
"[2016,2018]_[1:9]",2018,9,-0.05100381,-0.028612335,0.076102079,0.063552945
"[2018,2017,2016]_[8:1:1]",2018,8,-0.050236378,0.035903949,0.1488897216228773,0.09956305
"[2018,2017,2016]_[8:1:1]",2017,1,-0.050236378,0.035903949,0.1488897216228773,0.09956305
"[2018,2017,2016]_[8:1:1]",2016,1,-0.050236378,0.035903949,0.1488897216228773,0.09956305
"[2016,2018,2015]_[8:1:1]",2016,8,-0.050027399,-0.055971594,0.074276182,0.062151791
"[2016,2018,2015]_[8:1:1]",2018,1,-0.050027399,-0.055971594,0.074276182,0.062151791
"[2016,2018,2015]_[8:1:1]",2015,1,-0.050027399,-0.055971594,0.074276182,0.062151791
"[2017,2016,2018]_[8:1:1]",2017,8,-0.049870627,0.035920316,0.14859400161423336,0.099232314
"[2017,2016,2018]_[8:1:1]",2016,1,-0.049870627,0.035920316,0.14859400161423336,0.099232314
"[2017,2016,2018]_[8:1:1]",2018,1,-0.049870627,0.035920316,0.14859400161423336,0.099232314
"[2018,2016]_[1:9]",2018,1,-0.049062538,-0.028639439,0.07610907,0.062585804
"[2018,2016]_[1:9]",2016,9,-0.049062538,-0.028639439,0.07610907,0.062585804
"[2019,2010]_[1:9]",2019,1,-0.048579238,-0.154260651,0.2213997418099576,0.13498949006720934
"[2019,2010]_[1:9]",2010,9,-0.048579238,-0.154260651,0.2213997418099576,0.13498949006720934
"[2016,2018,2017]_[8:1:1]",2016,8,-0.048534883,0.035815427083536654,0.14864618447616332,0.098590534
"[2016,2018,2017]_[8:1:1]",2018,1,-0.048534883,0.035815427083536654,0.14864618447616332,0.098590534
"[2016,2018,2017]_[8:1:1]",2017,1,-0.048534883,0.035815427083536654,0.14864618447616332,0.098590534
"[2018,2017,2016]_[1:1:8]",2018,1,-0.048534868,0.035815427083539846,0.14864618447616657,0.098590526
"[2018,2017,2016]_[1:1:8]",2017,1,-0.048534868,0.035815427083539846,0.14864618447616657,0.098590526
"[2018,2017,2016]_[1:1:8]",2016,8,-0.048534868,0.035815427083539846,0.14864618447616657,0.098590526
"[2010,2019]_[1:9]",2010,1,-0.048530579,-0.154123873,0.22155741871599824,0.13504399875210954
"[2010,2019]_[1:9]",2019,9,-0.048530579,-0.154123873,0.22155741871599824,0.13504399875210954
"[2011,2010]_[1:9]",2011,1,-0.043392855,-0.152683229,0.20126179344029987,0.12232732414190031
"[2011,2010]_[1:9]",2010,9,-0.043392855,-0.152683229,0.20126179344029987,0.12232732414190031
"[2010,2011]_[1:9]",2010,1,-0.042807118,-0.15310315,0.20096945756435475,0.12188828758689815
"[2010,2011]_[1:9]",2011,9,-0.042807118,-0.15310315,0.20096945756435475,0.12188828758689815
"[2016,2019]_[1:9]",2016,1,-0.042674182,-0.048177827,0.081534004,0.062104092986962456
"[2016,2019]_[1:9]",2019,9,-0.042674182,-0.048177827,0.081534004,0.062104092986962456
"[2019,2015,2016]_[8:1:1]",2019,8,-0.042617256,-0.062506299,0.092053796,0.067335526
"[2019,2015,2016]_[8:1:1]",2015,1,-0.042617256,-0.062506299,0.092053796,0.067335526
"[2019,2015,2016]_[8:1:1]",2016,1,-0.042617256,-0.062506299,0.092053796,0.067335526
"[2015,2016,2019]_[1:1:8]",2015,1,-0.042617256,-0.062506299,0.092053796,0.067335526
"[2015,2016,2019]_[1:1:8]",2016,1,-0.042617256,-0.062506299,0.092053796,0.067335526
"[2015,2016,2019]_[1:1:8]",2019,8,-0.042617256,-0.062506299,0.092053796,0.067335526
[2016],2016,1,-0.042242406,-0.036115718,0.10466744384792286,0.073454925
"[2018,2016,2015]_[8:1:1]",2018,8,-0.041205003,-0.056074914,0.076013992,0.058609497
"[2018,2016,2015]_[8:1:1]",2016,1,-0.041205003,-0.056074914,0.076013992,0.058609497
"[2018,2016,2015]_[8:1:1]",2015,1,-0.041205003,-0.056074914,0.076013992,0.058609497
"[2015,2018,2016]_[8:1:1]",2015,8,-0.041060763,-0.054868674,0.071537408,0.056299085270697005
"[2015,2018,2016]_[8:1:1]",2018,1,-0.041060763,-0.054868674,0.071537408,0.056299085270697005
"[2015,2018,2016]_[8:1:1]",2016,1,-0.041060763,-0.054868674,0.071537408,0.056299085270697005
"[2019,2016]_[1:9]",2019,1,-0.040926974,-0.04802951,0.081454517,0.061190745
"[2019,2016]_[1:9]",2016,9,-0.040926974,-0.04802951,0.081454517,0.061190745
"[2016,2015,2014]_[1:1:8]",2016,1,-0.040401881,-0.055515252,0.074012305,0.057207093
"[2016,2015,2014]_[1:1:8]",2015,1,-0.040401881,-0.055515252,0.074012305,0.057207093
"[2016,2015,2014]_[1:1:8]",2014,8,-0.040401881,-0.055515252,0.074012305,0.057207093
"[2016,2015]_[1:9]",2016,1,-0.040295049,-0.056968704,0.078528765,0.059411907
"[2016,2015]_[1:9]",2015,9,-0.040295049,-0.056968704,0.078528765,0.059411907
"[2010,2011,2012]_[1:8:1]",2010,1,-0.04027601,-0.151299541,0.21080767001178533,0.12554184010095393
"[2010,2011,2012]_[1:8:1]",2011,8,-0.04027601,-0.151299541,0.21080767001178533,0.12554184010095393
"[2010,2011,2012]_[1:8:1]",2012,1,-0.04027601,-0.151299541,0.21080767001178533,0.12554184010095393
"[2015,2017,2016]_[8:1:1]",2015,8,-0.039992738,-0.056901126,0.07945895,0.059725843812434454
"[2015,2017,2016]_[8:1:1]",2017,1,-0.039992738,-0.056901126,0.07945895,0.059725843812434454
"[2015,2017,2016]_[8:1:1]",2016,1,-0.039992738,-0.056901126,0.07945895,0.059725843812434454
"[2017,2016,2015]_[1:1:8]",2017,1,-0.039992738,-0.056901126,0.07945895,0.059725844
"[2017,2016,2015]_[1:1:8]",2016,1,-0.039992738,-0.056901126,0.07945895,0.059725844
"[2017,2016,2015]_[1:1:8]",2015,8,-0.039992738,-0.056901126,0.07945895,0.059725844
"[2017,2016,2015]_[8:1:1]",2017,8,-0.039523874,-0.055614673,0.074920268,0.057222071
"[2017,2016,2015]_[8:1:1]",2016,1,-0.039523874,-0.055614673,0.074920268,0.057222071
"[2017,2016,2015]_[8:1:1]",2015,1,-0.039523874,-0.055614673,0.074920268,0.057222071
"[2010,2011,2012]_[8:1:1]",2010,8,-0.039388779,-0.151394307,0.211042307,0.12521554336423396
"[2010,2011,2012]_[8:1:1]",2011,1,-0.039388779,-0.151394307,0.211042307,0.12521554336423396
"[2010,2011,2012]_[8:1:1]",2012,1,-0.039388779,-0.151394307,0.211042307,0.12521554336423396
"[2010,2011,2012]_[1:1:8]",2010,1,-0.038323033,-0.150264736,0.20962071753615197,0.12397187537632554
"[2010,2011,2012]_[1:1:8]",2011,1,-0.038323033,-0.150264736,0.20962071753615197,0.12397187537632554
"[2010,2011,2012]_[1:1:8]",2012,8,-0.038323033,-0.150264736,0.20962071753615197,0.12397187537632554
"[2016,2015,2018]_[8:1:1]",2016,8,-0.038270371,-0.054288805,0.070759698,0.054515034
"[2016,2015,2018]_[8:1:1]",2015,1,-0.038270371,-0.054288805,0.070759698,0.054515034
"[2016,2015,2018]_[8:1:1]",2018,1,-0.038270371,-0.054288805,0.070759698,0.054515034
"[2015,2016]_[1:9]",2015,1,-0.038266925,-0.054089826,0.070246337,0.054256631
"[2015,2016]_[1:9]",2016,9,-0.038266925,-0.054089826,0.070246337,0.054256631
"[2016,2015,2017]_[8:1:1]",2016,8,-0.037971654,-0.054355197,0.071117909,0.054544781752344944
"[2016,2015,2017]_[8:1:1]",2015,1,-0.037971654,-0.054355197,0.071117909,0.054544781752344944
"[2016,2015,2017]_[8:1:1]",2017,1,-0.037971654,-0.054355197,0.071117909,0.054544781752344944
"[2016,2011]_[1:9]",2016,1,-0.034634743,-0.058690557,0.09763739,0.066136067
"[2016,2011]_[1:9]",2011,9,-0.034634743,-0.058690557,0.09763739,0.066136067
"[2011,2015,2016]_[8:1:1]",2011,8,-0.034486473,-0.065578206,0.10153657703111692,0.068011525
"[2011,2015,2016]_[8:1:1]",2015,1,-0.034486473,-0.065578206,0.10153657703111692,0.068011525
"[2011,2015,2016]_[8:1:1]",2016,1,-0.034486473,-0.065578206,0.10153657703111692,0.068011525
"[2015,2016,2011]_[1:1:8]",2015,1,-0.034486473,-0.065578206,0.10153657703111665,0.068011525
"[2015,2016,2011]_[1:1:8]",2016,1,-0.034486473,-0.065578206,0.10153657703111665,0.068011525
"[2015,2016,2011]_[1:1:8]",2011,8,-0.034486473,-0.065578206,0.10153657703111665,0.068011525
"[2012,2011,2010]_[1:1:8]",2012,1,-0.034133454,-0.133116768,0.17300262343646938,0.10356803858400818
"[2012,2011,2010]_[1:1:8]",2011,1,-0.034133454,-0.133116768,0.17300262343646938,0.10356803858400818
