,nodes,techs,costs,Value,source_model
6,netherlands,onshore_wind,monetary,22536.409982208726,results_plan_cluster_2012_2015_weights_1_9.netcdf
7,netherlands,solar,monetary,30176.19357205853,results_plan_cluster_2012_2015_weights_1_9.netcdf
0,netherlands,battery,monetary,1311.7766987762418,results_plan_cluster_2012_2016_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,33345.99704288708,results_plan_cluster_2012_2016_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18250.841493066677,results_plan_cluster_2012_2016_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16980.654196662264,results_plan_cluster_2012_2016_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15285.310058094965,results_plan_cluster_2012_2016_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,88317.76384576614,results_plan_cluster_2012_2016_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22479.901034362723,results_plan_cluster_2012_2016_weights_1_9.netcdf
7,netherlands,solar,monetary,32696.746467398003,results_plan_cluster_2012_2016_weights_1_9.netcdf
0,netherlands,battery,monetary,1102.4145563388672,results_plan_cluster_2012_2017_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31372.609160408923,results_plan_cluster_2012_2017_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18438.557490001513,results_plan_cluster_2012_2017_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,19742.259932505614,results_plan_cluster_2012_2017_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15287.190016308848,results_plan_cluster_2012_2017_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,77758.07102014161,results_plan_cluster_2012_2017_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22476.560855119762,results_plan_cluster_2012_2017_weights_1_9.netcdf
7,netherlands,solar,monetary,28876.160866959544,results_plan_cluster_2012_2017_weights_1_9.netcdf
0,netherlands,battery,monetary,1431.0629391901646,results_plan_cluster_2012_2018_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29545.223749294684,results_plan_cluster_2012_2018_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18164.95109761248,results_plan_cluster_2012_2018_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15897.405358628455,results_plan_cluster_2012_2018_weights_1_9.netcdf
