nodes,techs,carriers,timesteps,flow_in
netherlands,hydrogen_storage_system,power,2019-01-07 10:00:00,2108746.0073499344
netherlands,hydrogen_storage_system,power,2019-01-07 11:00:00,5812991.334434811
netherlands,hydrogen_storage_system,power,2019-01-07 12:00:00,9000276.56798285
netherlands,hydrogen_storage_system,power,2019-01-07 13:00:00,12495632.434731191
netherlands,hydrogen_storage_system,power,2019-01-07 14:00:00,15328459.606131863
netherlands,hydrogen_storage_system,power,2019-01-07 15:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 16:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 17:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 18:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 19:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 20:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 21:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 22:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-07 23:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 00:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 01:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 02:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 03:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 04:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 05:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 06:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 07:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 08:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 09:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 10:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 11:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 12:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 13:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 14:00:00,15914651.641737834
netherlands,hydrogen_storage_system,power,2019-01-08 15:00:00,15914651.641737834
