timesteps,nodes,techs,source_use_max
2019-01-05 17:00:00,netherlands,solar,0.0
2019-01-05 18:00:00,netherlands,offshore_wind,0.4793
2019-01-05 18:00:00,netherlands,onshore_wind,0.378
2019-01-05 18:00:00,netherlands,solar,0.0
2019-01-05 19:00:00,netherlands,offshore_wind,0.4751
2019-01-05 19:00:00,netherlands,onshore_wind,0.3696
2019-01-05 19:00:00,netherlands,solar,0.0
2019-01-05 20:00:00,netherlands,offshore_wind,0.4804
2019-01-05 20:00:00,netherlands,onshore_wind,0.3698
2019-01-05 20:00:00,netherlands,solar,0.0
2019-01-05 21:00:00,netherlands,offshore_wind,0.471
2019-01-05 21:00:00,netherlands,onshore_wind,0.3741
2019-01-05 21:00:00,netherlands,solar,0.0
2019-01-05 22:00:00,netherlands,offshore_wind,0.4601
2019-01-05 22:00:00,netherlands,onshore_wind,0.3637
2019-01-05 22:00:00,netherlands,solar,0.0
2019-01-05 23:00:00,netherlands,offshore_wind,0.4444
2019-01-05 23:00:00,netherlands,onshore_wind,0.3592
2019-01-05 23:00:00,netherlands,solar,0.0
2019-01-06 00:00:00,netherlands,offshore_wind,0.4088
2019-01-06 00:00:00,netherlands,onshore_wind,0.3353
2019-01-06 00:00:00,netherlands,solar,0.0
2019-01-06 01:00:00,netherlands,offshore_wind,0.3764
2019-01-06 01:00:00,netherlands,onshore_wind,0.3122
2019-01-06 01:00:00,netherlands,solar,0.0
2019-01-06 02:00:00,netherlands,offshore_wind,0.337
2019-01-06 02:00:00,netherlands,onshore_wind,0.2915
2019-01-06 02:00:00,netherlands,solar,0.0
2019-01-06 03:00:00,netherlands,offshore_wind,0.2969
2019-01-06 03:00:00,netherlands,onshore_wind,0.2695
2019-01-06 03:00:00,netherlands,solar,0.0
2019-01-06 04:00:00,netherlands,offshore_wind,0.271
2019-01-06 04:00:00,netherlands,onshore_wind,0.2542
2019-01-06 04:00:00,netherlands,solar,0.0
2019-01-06 05:00:00,netherlands,offshore_wind,0.2467
2019-01-06 05:00:00,netherlands,onshore_wind,0.2365
2019-01-06 05:00:00,netherlands,solar,0.0
2019-01-06 06:00:00,netherlands,offshore_wind,0.2171
2019-01-06 06:00:00,netherlands,onshore_wind,0.2112
2019-01-06 06:00:00,netherlands,solar,0.0
2019-01-06 07:00:00,netherlands,offshore_wind,0.1974
2019-01-06 07:00:00,netherlands,onshore_wind,0.1956
2019-01-06 07:00:00,netherlands,solar,0.0
2019-01-06 08:00:00,netherlands,offshore_wind,0.1805
2019-01-06 08:00:00,netherlands,onshore_wind,0.1808
2019-01-06 08:00:00,netherlands,solar,0.017
2019-01-06 09:00:00,netherlands,offshore_wind,0.1488
2019-01-06 09:00:00,netherlands,onshore_wind,0.15
2019-01-06 09:00:00,netherlands,solar,0.056
2019-01-06 10:00:00,netherlands,offshore_wind,0.1145
2019-01-06 10:00:00,netherlands,onshore_wind,0.1122
2019-01-06 10:00:00,netherlands,solar,0.101
2019-01-06 11:00:00,netherlands,offshore_wind,0.0962
2019-01-06 11:00:00,netherlands,onshore_wind,0.0961
2019-01-06 11:00:00,netherlands,solar,0.126
2019-01-06 12:00:00,netherlands,offshore_wind,0.0875
2019-01-06 12:00:00,netherlands,onshore_wind,0.091
2019-01-06 12:00:00,netherlands,solar,0.132
2019-01-06 13:00:00,netherlands,offshore_wind,0.0839
2019-01-06 13:00:00,netherlands,onshore_wind,0.0864
2019-01-06 13:00:00,netherlands,solar,0.098
2019-01-06 14:00:00,netherlands,offshore_wind,0.0954
2019-01-06 14:00:00,netherlands,onshore_wind,0.0936
2019-01-06 14:00:00,netherlands,solar,0.038
2019-01-06 15:00:00,netherlands,offshore_wind,0.1063
2019-01-06 15:00:00,netherlands,onshore_wind,0.1032
2019-01-06 15:00:00,netherlands,solar,0.001
2019-01-06 16:00:00,netherlands,offshore_wind,0.1104
2019-01-06 16:00:00,netherlands,onshore_wind,0.1058
2019-01-06 16:00:00,netherlands,solar,0.0
2019-01-06 17:00:00,netherlands,offshore_wind,0.1222
2019-01-06 17:00:00,netherlands,onshore_wind,0.1124
2019-01-06 17:00:00,netherlands,solar,0.0
2019-01-06 18:00:00,netherlands,offshore_wind,0.1266
2019-01-06 18:00:00,netherlands,onshore_wind,0.1094
2019-01-06 18:00:00,netherlands,solar,0.0
2019-01-06 19:00:00,netherlands,offshore_wind,0.1064
2019-01-06 19:00:00,netherlands,onshore_wind,0.0993
2019-01-06 19:00:00,netherlands,solar,0.0
2019-01-06 20:00:00,netherlands,offshore_wind,0.0855
2019-01-06 20:00:00,netherlands,onshore_wind,0.0946
2019-01-06 20:00:00,netherlands,solar,0.0
2019-01-06 21:00:00,netherlands,offshore_wind,0.0726
2019-01-06 21:00:00,netherlands,onshore_wind,0.0924
2019-01-06 21:00:00,netherlands,solar,0.0
2019-01-06 22:00:00,netherlands,offshore_wind,0.0596
2019-01-06 22:00:00,netherlands,onshore_wind,0.0817
2019-01-06 22:00:00,netherlands,solar,0.0
2019-01-06 23:00:00,netherlands,offshore_wind,0.0691
2019-01-06 23:00:00,netherlands,onshore_wind,0.084
2019-01-06 23:00:00,netherlands,solar,0.0
2019-01-07 00:00:00,netherlands,offshore_wind,0.0994
2019-01-07 00:00:00,netherlands,onshore_wind,0.1038
2019-01-07 00:00:00,netherlands,solar,0.0
2019-01-07 01:00:00,netherlands,offshore_wind,0.1268
2019-01-07 01:00:00,netherlands,onshore_wind,0.1211
2019-01-07 01:00:00,netherlands,solar,0.0
2019-01-07 02:00:00,netherlands,offshore_wind,0.1478
2019-01-07 02:00:00,netherlands,onshore_wind,0.129
2019-01-07 02:00:00,netherlands,solar,0.0
2019-01-07 03:00:00,netherlands,offshore_wind,0.1746
2019-01-07 03:00:00,netherlands,onshore_wind,0.1351
2019-01-07 03:00:00,netherlands,solar,0.0
2019-01-07 04:00:00,netherlands,offshore_wind,0.2113
2019-01-07 04:00:00,netherlands,onshore_wind,0.1499
2019-01-07 04:00:00,netherlands,solar,0.0
2019-01-07 05:00:00,netherlands,offshore_wind,0.2499
2019-01-07 05:00:00,netherlands,onshore_wind,0.1767
2019-01-07 05:00:00,netherlands,solar,0.0
2019-01-07 06:00:00,netherlands,offshore_wind,0.2719
2019-01-07 06:00:00,netherlands,onshore_wind,0.1951
2019-01-07 06:00:00,netherlands,solar,0.0
2019-01-07 07:00:00,netherlands,offshore_wind,0.285
2019-01-07 07:00:00,netherlands,onshore_wind,0.2097
2019-01-07 07:00:00,netherlands,solar,0.0
2019-01-07 08:00:00,netherlands,offshore_wind,0.2994
2019-01-07 08:00:00,netherlands,onshore_wind,0.2213
2019-01-07 08:00:00,netherlands,solar,0.004
2019-01-07 09:00:00,netherlands,offshore_wind,0.325
2019-01-07 09:00:00,netherlands,onshore_wind,0.2181
2019-01-07 09:00:00,netherlands,solar,0.017
2019-01-07 10:00:00,netherlands,offshore_wind,0.4094
2019-01-07 10:00:00,netherlands,onshore_wind,0.237
2019-01-07 10:00:00,netherlands,solar,0.026
2019-01-07 11:00:00,netherlands,offshore_wind,0.4878
2019-01-07 11:00:00,netherlands,onshore_wind,0.2961
2019-01-07 11:00:00,netherlands,solar,0.031
2019-01-07 12:00:00,netherlands,offshore_wind,0.5581
2019-01-07 12:00:00,netherlands,onshore_wind,0.3581
2019-01-07 12:00:00,netherlands,solar,0.027
2019-01-07 13:00:00,netherlands,offshore_wind,0.6363
2019-01-07 13:00:00,netherlands,onshore_wind,0.4185
2019-01-07 13:00:00,netherlands,solar,0.018
2019-01-07 14:00:00,netherlands,offshore_wind,0.7002
2019-01-07 14:00:00,netherlands,onshore_wind,0.4742
2019-01-07 14:00:00,netherlands,solar,0.007
2019-01-07 15:00:00,netherlands,offshore_wind,0.7278
2019-01-07 15:00:00,netherlands,onshore_wind,0.5258
2019-01-07 15:00:00,netherlands,solar,0.0
2019-01-07 16:00:00,netherlands,offshore_wind,0.7358
2019-01-07 16:00:00,netherlands,onshore_wind,0.5726
2019-01-07 16:00:00,netherlands,solar,0.0
2019-01-07 17:00:00,netherlands,offshore_wind,0.7227
2019-01-07 17:00:00,netherlands,onshore_wind,0.6019
2019-01-07 17:00:00,netherlands,solar,0.0
2019-01-07 18:00:00,netherlands,offshore_wind,0.8194
2019-01-07 18:00:00,netherlands,onshore_wind,0.6488
