tvp,scenario_name,model_name,dates,date_range,id
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=1","2010,2019",10,146810f5498a4703f467
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, W_proxy=0.0","2010,2019",10,b74bc8bdffa00ef9e0ce
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.25","2010,2019",10,37f6622f990ca5f875ea
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.5","2010,2019",10,ad59aa7d189eca390c04
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.75","2010,2019",10,e45ab8163d2818d2f272
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.99","2010,2019",10,3b193c48fdc8f8de5eef
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=1","2010,2019",10,e32d5ffbd49161e25b9f
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, W_proxy=0.0","2010,2019",10,24715ad704ab0f9151bb
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.25","2010,2019",10,a70a1cb76d1cba8b082e
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.5","2010,2019",10,d6bf0da6e15b5cb40ba9
